i	M1	Pi	M2	MWD	Pf	CV?
26	1.0	50.0	0.2	0.3225103108243692	0.04351110552943748	yes
27	1.0	50.0	0.25	0.3221708105328483	0.04769456115887417	yes
28	1.0	50.0	0.3	0.32205976511048007	0.061084672201269626	yes
32	1.0	87.0	0.1	inf	inf	no
33	1.0	87.0	0.15	0.34251515308277014	0.044705743343045355	yes
34	1.0	87.0	0.2	0.33350216242400005	0.09047445237705583	no
35	1.0	87.0	0.25	0.331770209767	0.17103827772338523	no
36	1.0	87.0	0.3	0.33037727213	0.23039257194318552	no
40	1.0	149.0	0.1	0.367729117045	0.1214531263655005	no
41	1.0	149.0	0.15	0.3639868494679999	0.24118001867616745	no
42	1.0	149.0	0.2	0.36139639265500006	0.34653962468892024	no
43	1.0	149.0	0.25	0.359392392222	0.4465646476976239	no
44	1.0	149.0	0.3	0.357748934706	0.5428431108156524	no
45	1.0	149.0	0.35	0.356441895959	0.6363395277645392	no
48	1.0	257.0	0.1	0.402250661367	0.3395777393282249	no
49	1.0	257.0	0.15	0.3976703707759999	0.5471962085392088	no
50	1.0	257.0	0.2	0.39447729163800005	0.7509989538459565	no
51	1.0	257.0	0.25	0.39213669365000003	0.9506391516790859	no
52	1.0	257.0	0.3	0.390245987314	1.1453737157289239	no
53	1.0	257.0	0.35	0.388621588644	1.334915228678387	no
56	1.0	442.0	0.1	0.44357382963	0.7446502029879217	no
57	1.0	442.0	0.15	0.438103569035	1.176375216447232	no
58	1.0	442.0	0.2	0.434314864228	1.6042373444536173	no
59	1.0	442.0	0.25	0.431382337835	2.0232546096925605	no
60	1.0	442.0	0.3	0.428995319043	2.4319962402989113	no
61	1.0	442.0	0.35	0.427149775887	2.832696282123903	no
62	1.0	442.0	0.4	0.425654856178	3.204417051910822	no
114	1.3	84.0	0.2	inf	inf	no
115	1.3	84.0	0.25	0.36010462556145345	0.04388241234851303	yes
116	1.3	84.0	0.3	0.359598259697921	0.05741187569781284	yes
120	1.3	143.0	0.1	inf	inf	no
121	1.3	143.0	0.15	0.3870090342941055	0.04283073831749013	yes
122	1.3	143.0	0.2	0.3792412342674053	0.0708114839779075	yes
123	1.3	143.0	0.25	0.372968445602	0.13864463545143602	no
124	1.3	143.0	0.3	0.371138717917	0.20391470941197304	no
125	1.3	143.0	0.35	0.3697395748069999	0.2587346863202756	no
128	1.3	244.0	0.1	0.418540381527	0.08674786056453	no
129	1.3	244.0	0.15	0.413785582052	0.2165400812007576	no
130	1.3	244.0	0.2	0.410266382704	0.320299749126305	no
131	1.3	244.0	0.25	0.40767183709699994	0.4181559263997058	no
132	1.3	244.0	0.3	0.405600272477	0.5124218321220947	no
133	1.3	244.0	0.35	0.403765665001	0.6035387079327397	no
136	1.3	417.0	0.1	0.463727168834	0.3104208076356803	no
137	1.3	417.0	0.15	0.457776938891	0.5094105393467203	no
138	1.3	417.0	0.2	0.45343466946	0.7052086827971186	no
139	1.3	417.0	0.25	0.450215382615	0.8978674891273086	no
140	1.3	417.0	0.3	0.44753350261499997	1.086187542659404	no
141	1.3	417.0	0.35	0.445374363078	1.270831348420295	no
142	1.3	417.0	0.4	0.443561528644	1.313091399104484	no
289	2.0	232.0	0.15	inf	inf	no
290	2.0	232.0	0.2	inf	inf	no
291	2.0	232.0	0.25	0.45905170568654524	0.04924351257755811	yes
292	2.0	232.0	0.3	0.4554126681020203	0.06954672457377334	yes
293	2.0	232.0	0.35	0.45100159736193907	0.08991960553825894	yes
294	2.0	232.0	0.4	0.4572114787060218	0.08069436013723215	yes
367	2.3	137.0	0.45	inf	inf	no
764	4.0	421.0	0.35	0.7296544680767935	0.043798925045258	yes
765	4.0	421.0	0.4	inf	inf	no
766	4.0	421.0	0.5	0.7433958138501098	0.044368741601230346	yes
767	4.0	421.0	0.55	inf	inf	no
768	4.0	421.0	0.6	inf	inf	no
769	4.0	421.0	0.7	inf	inf	no
868	5.0	459.0	0.75	inf	inf	no
869	5.0	459.0	0.8	inf	inf	no
872	5.0	793.0	0.25	inf	inf	no
873	5.0	793.0	0.3	inf	inf	no
874	5.0	793.0	0.4	0.8670262129509485	0.061344569034666875	yes
875	5.0	793.0	0.5	inf	inf	no
876	5.0	793.0	0.55	inf	inf	no
877	5.0	793.0	0.65	inf	inf	no
878	5.0	793.0	0.75	inf	inf	no
879	5.0	793.0	0.8	inf	inf	no
974	6.0	888.0	0.45	0.9238976676318998	0.044601692362120256	yes
975	6.0	888.0	0.5	inf	inf	no
976	6.0	888.0	0.6	inf	inf	no
977	6.0	888.0	0.7	inf	inf	no
978	6.0	888.0	0.8	inf	inf	no
979	6.0	888.0	0.85	inf	inf	no
1075	7.0	1009.0	0.55	inf	inf	no
1077	7.0	1009.0	0.75	inf	inf	no
1078	7.0	1009.0	0.8	inf	inf	no
1079	7.0	1009.0	0.9	inf	inf	no
1179	8.0	1157.0	0.95	inf	inf	no
1389	10.0	2919.0	1.15	inf	inf	no
