i	M1	Pi	M2	MWD	Pf	CV?
26	1.0	50.0	0.2	inf	inf	no
27	1.0	50.0	0.25	inf	inf	no
28	1.0	50.0	0.3	inf	inf	no
32	1.0	87.0	0.1	inf	inf	no
33	1.0	87.0	0.15	inf	inf	no
34	1.0	87.0	0.2	0.3459573881674009	0.04201952276483979	yes
35	1.0	87.0	0.25	0.3359328493784757	0.08606400551084711	yes
36	1.0	87.0	0.3	0.33037727213	0.17221591315572324	no
40	1.0	149.0	0.1	0.370998389487555	0.04199570879025329	yes
41	1.0	149.0	0.15	0.3639868494679999	0.21303411431775152	no
42	1.0	149.0	0.2	0.36139639265500006	0.32780259043387144	no
43	1.0	149.0	0.25	0.359392392222	0.4319805792944782	no
44	1.0	149.0	0.3	0.357748934706	0.5306830435269906	no
45	1.0	149.0	0.35	0.356441895959	0.6257998061705997	no
48	1.0	257.0	0.1	0.402250661367	0.3285877016777612	no
49	1.0	257.0	0.15	0.3976703707759999	0.5401630690098355	no
50	1.0	257.0	0.2	0.39447729163800005	0.7456785993893722	no
51	1.0	257.0	0.25	0.39213669365000003	0.9462948657778417	no
52	1.0	257.0	0.3	0.390245987314	1.141663674384882	no
53	1.0	257.0	0.35	0.388621588644	1.3316517629500082	no
56	1.0	442.0	0.1	0.44357382963	0.7415293179262255	no
57	1.0	442.0	0.15	0.438103569035	1.1742756877986673	no
58	1.0	442.0	0.2	0.434314864228	1.6026243750016855	no
59	1.0	442.0	0.25	0.431382337835	2.0219266423417888	no
60	1.0	442.0	0.3	0.428995319043	2.4308561028286078	no
61	1.0	442.0	0.35	0.427149775887	2.8316908495961033	no
62	1.0	442.0	0.4	0.425654856178	3.1857129169279155	no
114	1.3	84.0	0.2	inf	inf	no
115	1.3	84.0	0.25	inf	inf	no
116	1.3	84.0	0.3	inf	inf	no
120	1.3	143.0	0.1	inf	inf	no
121	1.3	143.0	0.15	inf	inf	no
122	1.3	143.0	0.2	inf	inf	no
123	1.3	143.0	0.25	0.3840436750415665	0.06359544814335093	yes
124	1.3	143.0	0.3	0.37145228785368606	0.1083774720569337	yes
125	1.3	143.0	0.35	0.3697395748069999	0.20027321071944507	no
128	1.3	244.0	0.1	inf	inf	no
129	1.3	244.0	0.15	0.413785582052	0.1772206528967883	no
130	1.3	244.0	0.2	0.410266382704	0.29628652576440717	no
131	1.3	244.0	0.25	0.40767183709699994	0.3999964247953831	no
132	1.3	244.0	0.3	0.405600272477	0.4975117617805603	no
133	1.3	244.0	0.35	0.403765665001	0.5907277055859566	no
136	1.3	417.0	0.1	0.463727168834	0.2960962784654841	no
137	1.3	417.0	0.15	0.457776938891	0.5005671748364543	no
138	1.3	417.0	0.2	0.45343466946	0.6986210998963068	no
139	1.3	417.0	0.25	0.450215382615	0.8925341942773996	no
140	1.3	417.0	0.3	0.44753350261499997	1.0816593047234628	no
141	1.3	417.0	0.35	0.445374363078	1.266869365241665	no
142	1.3	417.0	0.4	0.443561528644	1.1548536609791529	no
289	2.0	232.0	0.15	inf	inf	no
290	2.0	232.0	0.2	inf	inf	no
291	2.0	232.0	0.25	inf	inf	no
292	2.0	232.0	0.3	inf	inf	no
293	2.0	232.0	0.35	0.46663787516205724	0.04244994520157646	yes
294	2.0	232.0	0.4	inf	inf	no
367	2.3	137.0	0.45	inf	inf	no
764	4.0	421.0	0.35	inf	inf	no
765	4.0	421.0	0.4	inf	inf	no
766	4.0	421.0	0.5	inf	inf	no
767	4.0	421.0	0.55	inf	inf	no
768	4.0	421.0	0.6	inf	inf	no
769	4.0	421.0	0.7	inf	inf	no
868	5.0	459.0	0.75	inf	inf	no
869	5.0	459.0	0.8	inf	inf	no
872	5.0	793.0	0.25	inf	inf	no
873	5.0	793.0	0.3	inf	inf	no
874	5.0	793.0	0.4	inf	inf	no
875	5.0	793.0	0.5	inf	inf	no
876	5.0	793.0	0.55	inf	inf	no
877	5.0	793.0	0.65	inf	inf	no
878	5.0	793.0	0.75	inf	inf	no
879	5.0	793.0	0.8	inf	inf	no
974	6.0	888.0	0.45	inf	inf	no
975	6.0	888.0	0.5	inf	inf	no
976	6.0	888.0	0.6	inf	inf	no
977	6.0	888.0	0.7	inf	inf	no
978	6.0	888.0	0.8	inf	inf	no
979	6.0	888.0	0.85	inf	inf	no
1075	7.0	1009.0	0.55	inf	inf	no
1077	7.0	1009.0	0.75	inf	inf	no
1078	7.0	1009.0	0.8	inf	inf	no
1079	7.0	1009.0	0.9	inf	inf	no
1179	8.0	1157.0	0.95	inf	inf	no
1389	10.0	2919.0	1.15	inf	inf	no
