i	M1	Pi	M2	MWD	Pf	CV?
26	1.0	50.0	0.2	inf	inf	no
27	1.0	50.0	0.25	0.3243871038955928	0.04148564281147681	yes
28	1.0	50.0	0.3	0.3244677382680933	0.05213293399207131	yes
32	1.0	87.0	0.1	inf	inf	no
33	1.0	87.0	0.15	0.3446605281494275	0.04193964692209387	yes
34	1.0	87.0	0.2	0.3359250895644908	0.07728014859582577	yes
35	1.0	87.0	0.25	0.331770209767	0.156911859526499	no
36	1.0	87.0	0.3	0.33037727213	0.22073059161247424	no
40	1.0	149.0	0.1	0.367729117045	0.10935991387044952	no
41	1.0	149.0	0.15	0.3639868494679999	0.23599135740554042	no
42	1.0	149.0	0.2	0.36139639265500006	0.3429276002597156	no
43	1.0	149.0	0.25	0.359392392222	0.44371141156301636	no
44	1.0	149.0	0.3	0.357748934706	0.5404478286134722	no
45	1.0	149.0	0.35	0.356441895959	0.6342552108888457	no
48	1.0	257.0	0.1	0.402250661367	0.337427365714099	no
49	1.0	257.0	0.15	0.3976703707759999	0.545801144167525	no
50	1.0	257.0	0.2	0.39447729163800005	0.7499394262393753	no
51	1.0	257.0	0.25	0.39213669365000003	0.9497727209823124	no
52	1.0	257.0	0.3	0.390245987314	1.1446331328128132	no
53	1.0	257.0	0.35	0.388621588644	1.3342634427612474	no
56	1.0	442.0	0.1	0.44357382963	0.74402747738368	no
57	1.0	442.0	0.15	0.438103569035	1.1759557802711091	no
58	1.0	442.0	0.2	0.434314864228	1.6039149340418357	no
59	1.0	442.0	0.25	0.431382337835	2.0229891166810376	no
60	1.0	442.0	0.3	0.428995319043	2.4317682779456073	no
61	1.0	442.0	0.35	0.427149775887	2.832495239733266	no
62	1.0	442.0	0.4	0.425654856178	3.2007118700308714	no
114	1.3	84.0	0.2	inf	inf	no
115	1.3	84.0	0.25	0.3622089837352947	0.04288674077738504	yes
116	1.3	84.0	0.3	0.36207708029042446	0.047958091979263595	yes
120	1.3	143.0	0.1	inf	inf	no
121	1.3	143.0	0.15	inf	inf	no
122	1.3	143.0	0.2	0.38211297311095915	0.061587330621766544	yes
123	1.3	143.0	0.25	0.372968445602	0.1148293945788792	no
124	1.3	143.0	0.3	0.371138717917	0.19062615605561575	no
125	1.3	143.0	0.35	0.3697395748069999	0.24881723673981998	no
128	1.3	244.0	0.1	0.418540381527	0.057998219198504515	no
129	1.3	244.0	0.15	0.413785582052	0.20963529866626024	no
130	1.3	244.0	0.2	0.410266382704	0.3157379255947105	no
131	1.3	244.0	0.25	0.40767183709699994	0.4146295226651193	no
132	1.3	244.0	0.3	0.405600272477	0.5094977938278802	no
133	1.3	244.0	0.35	0.403765665001	0.6010117582609533	no
136	1.3	417.0	0.1	0.463727168834	0.3076441994209374	no
137	1.3	417.0	0.15	0.457776938891	0.5076620416008737	no
138	1.3	417.0	0.2	0.45343466946	0.7038982710519803	no
139	1.3	417.0	0.25	0.450215382615	0.8968046671510411	no
140	1.3	417.0	0.3	0.44753350261499997	1.0852841440696432	no
141	1.3	417.0	0.35	0.445374363078	1.2700403553964474	no
142	1.3	417.0	0.4	0.443561528644	1.2850944047572685	no
289	2.0	232.0	0.15	inf	inf	no
290	2.0	232.0	0.2	inf	inf	no
291	2.0	232.0	0.25	0.46168421753087546	0.0424717002499186	yes
292	2.0	232.0	0.3	0.4585194087692469	0.05965229523739262	yes
293	2.0	232.0	0.35	0.45474292801483895	0.0796051906237588	yes
294	2.0	232.0	0.4	0.46064378122709243	0.0703622947711857	yes
367	2.3	137.0	0.45	inf	inf	no
764	4.0	421.0	0.35	inf	inf	no
765	4.0	421.0	0.4	inf	inf	no
766	4.0	421.0	0.5	inf	inf	no
767	4.0	421.0	0.55	inf	inf	no
768	4.0	421.0	0.6	inf	inf	no
769	4.0	421.0	0.7	inf	inf	no
868	5.0	459.0	0.75	inf	inf	no
869	5.0	459.0	0.8	inf	inf	no
872	5.0	793.0	0.25	inf	inf	no
873	5.0	793.0	0.3	inf	inf	no
874	5.0	793.0	0.4	0.8710730563366493	0.0473555944425962	yes
875	5.0	793.0	0.5	inf	inf	no
876	5.0	793.0	0.55	inf	inf	no
877	5.0	793.0	0.65	inf	inf	no
878	5.0	793.0	0.75	inf	inf	no
879	5.0	793.0	0.8	inf	inf	no
974	6.0	888.0	0.45	inf	inf	no
975	6.0	888.0	0.5	inf	inf	no
976	6.0	888.0	0.6	inf	inf	no
977	6.0	888.0	0.7	inf	inf	no
978	6.0	888.0	0.8	inf	inf	no
979	6.0	888.0	0.85	inf	inf	no
1075	7.0	1009.0	0.55	inf	inf	no
1077	7.0	1009.0	0.75	inf	inf	no
1078	7.0	1009.0	0.8	inf	inf	no
1079	7.0	1009.0	0.9	inf	inf	no
1179	8.0	1157.0	0.95	inf	inf	no
1389	10.0	2919.0	1.15	inf	inf	no
