i	M1	Pi	M2	MWD	Pf	CV?
26	1.0	50.0	0.2	0.32167600105708694	0.04141027488056675	yes
27	1.0	50.0	0.25	0.32102065327162216	0.05216649566496689	yes
28	1.0	50.0	0.3	0.3207676913232505	0.0653435844455741	yes
32	1.0	87.0	0.1	inf	inf	no
33	1.0	87.0	0.15	0.34134220307899765	0.0489976606167695	yes
34	1.0	87.0	0.2	0.33350216242400005	0.10438776511644154	no
35	1.0	87.0	0.25	0.331770209767	0.17742399932805406	no
36	1.0	87.0	0.3	0.33037727213	0.2349802063775426	no
40	1.0	149.0	0.1	0.367729117045	0.1268104582748596	no
41	1.0	149.0	0.15	0.3639868494679999	0.24370634628170484	no
42	1.0	149.0	0.2	0.36139639265500006	0.3483220265597348	no
43	1.0	149.0	0.25	0.359392392222	0.4479799550542119	no
44	1.0	149.0	0.3	0.357748934706	0.5440344627480138	no
45	1.0	149.0	0.35	0.356441895959	0.6373773025038497	no
48	1.0	257.0	0.1	0.402250661367	0.3406444890609363	no
49	1.0	257.0	0.15	0.3976703707759999	0.5478911194016977	no
50	1.0	257.0	0.2	0.39447729163800005	0.751527730154007	no
51	1.0	257.0	0.25	0.39213669365000003	0.951072005239872	no
52	1.0	257.0	0.3	0.390245987314	1.1457436622837884	no
53	1.0	257.0	0.35	0.388621588644	1.3352409024542529	no
56	1.0	442.0	0.1	0.44357382963	0.7449612737047535	no
57	1.0	442.0	0.15	0.438103569035	1.1765848584240761	no
58	1.0	442.0	0.2	0.434314864228	1.6043985070190496	no
59	1.0	442.0	0.25	0.431382337835	2.023387343008554	no
60	1.0	442.0	0.3	0.428995319043	2.4321102118657687	no
61	1.0	442.0	0.35	0.427149775887	2.832796794937078	no
62	1.0	442.0	0.4	0.425654856178	3.206260339625094	no
114	1.3	84.0	0.2	0.359593586978532	0.04361499762313807	yes
115	1.3	84.0	0.25	0.35891070600026814	0.04805068410269425	yes
116	1.3	84.0	0.3	0.3582997835804667	0.06207739612901334	yes
120	1.3	143.0	0.1	inf	inf	no
121	1.3	143.0	0.15	0.3859973035310045	0.042072958616911564	yes
122	1.3	143.0	0.2	0.3777301016063795	0.07568204508607689	yes
123	1.3	143.0	0.25	0.372968445602	0.1483401616483434	no
124	1.3	143.0	0.3	0.371138717917	0.2100483653560556	no
125	1.3	143.0	0.35	0.3697395748069999	0.2634640810813537	no
128	1.3	244.0	0.1	0.418540381527	0.09651481959013039	no
129	1.3	244.0	0.15	0.413785582052	0.21985891621750428	no
130	1.3	244.0	0.2	0.410266382704	0.32254017664563756	no
131	1.3	244.0	0.25	0.40767183709699994	0.4199012721252325	no
132	1.3	244.0	0.3	0.405600272477	0.513873521571771	no
133	1.3	244.0	0.35	0.403765665001	0.6047940562794637	no
136	1.3	417.0	0.1	0.463727168834	0.31179399036136035	no
137	1.3	417.0	0.15	0.457776938891	0.510280228150348	no
138	1.3	417.0	0.2	0.45343466946	0.7058627653708672	no
139	1.3	417.0	0.25	0.450215382615	0.8983983459116371	no
140	1.3	417.0	0.3	0.44753350261499997	1.086638712785883	no
141	1.3	417.0	0.35	0.445374363078	1.2712265072297892	no
142	1.3	417.0	0.4	0.443561528644	1.3265560468051238	no
289	2.0	232.0	0.15	inf	inf	no
290	2.0	232.0	0.2	0.46103258317316553	0.04349006886118655	yes
291	2.0	232.0	0.25	0.45765369537394	0.054566490552236294	yes
292	2.0	232.0	0.3	0.453759007272705	0.07476558540567525	yes
293	2.0	232.0	0.35	0.4489596127443747	0.09515790364905873	yes
294	2.0	232.0	0.4	0.45535239826276075	0.08582188044684005	yes
367	2.3	137.0	0.45	inf	inf	no
764	4.0	421.0	0.35	0.7281016105268534	0.04609993788617419	yes
765	4.0	421.0	0.4	inf	inf	no
766	4.0	421.0	0.5	0.7420441915268281	0.04435989250910679	yes
767	4.0	421.0	0.55	0.7471701520238021	0.04386870919037434	yes
768	4.0	421.0	0.6	0.7521830084874143	0.04422505522054928	yes
769	4.0	421.0	0.7	0.761497400858477	0.04524700899657204	yes
868	5.0	459.0	0.75	inf	inf	no
869	5.0	459.0	0.8	inf	inf	no
872	5.0	793.0	0.25	inf	inf	no
873	5.0	793.0	0.3	0.8641771255761578	0.044759698354173524	yes
874	5.0	793.0	0.4	0.864803135844127	0.06832123468383162	yes
875	5.0	793.0	0.5	0.882479209574331	0.04446480116064286	yes
876	5.0	793.0	0.55	inf	inf	no
877	5.0	793.0	0.65	inf	inf	no
878	5.0	793.0	0.75	inf	inf	no
879	5.0	793.0	0.8	inf	inf	no
974	6.0	888.0	0.45	0.9220805148646453	0.04819951647921586	yes
975	6.0	888.0	0.5	inf	inf	no
976	6.0	888.0	0.6	inf	inf	no
977	6.0	888.0	0.7	inf	inf	no
978	6.0	888.0	0.8	inf	inf	no
979	6.0	888.0	0.85	inf	inf	no
1075	7.0	1009.0	0.55	inf	inf	no
1077	7.0	1009.0	0.75	inf	inf	no
1078	7.0	1009.0	0.8	inf	inf	no
1079	7.0	1009.0	0.9	inf	inf	no
1179	8.0	1157.0	0.95	inf	inf	no
1389	10.0	2919.0	1.15	inf	inf	no
