i	M1	Pi	M2	MWD	Pf	CV?
26	1.0	50.0	0.2	0.31212103003284564	0.07213364941779095	yes
27	1.0	50.0	0.25	0.30994449794402507	0.08828706604370462	yes
28	1.0	50.0	0.3	0.3070502571519281	0.10398632926336693	yes
32	1.0	87.0	0.1	0.33971187413290715	0.049430583756574026	yes
33	1.0	87.0	0.15	0.33581424632	0.11269522298441238	no
34	1.0	87.0	0.2	0.33350216242400005	0.16764454658437056	no
35	1.0	87.0	0.25	0.331770209767	0.21861628348328416	no
36	1.0	87.0	0.3	0.33037727213	0.26727379141176405	no
40	1.0	149.0	0.1	0.367729117045	0.16035397281480757	no
41	1.0	149.0	0.15	0.3639868494679999	0.26250987920246827	no
42	1.0	149.0	0.2	0.36139639265500006	0.3620671416743037	no
43	1.0	149.0	0.25	0.359392392222	0.4590470289912447	no
44	1.0	149.0	0.3	0.357748934706	0.5534191977611036	no
45	1.0	149.0	0.35	0.356441895959	0.6455926610611858	no
48	1.0	257.0	0.1	0.402250661367	0.3489881382058952	no
49	1.0	257.0	0.15	0.3976703707759999	0.5534090090962007	no
50	1.0	257.0	0.2	0.39447729163800005	0.7557401642725821	no
51	1.0	257.0	0.25	0.39213669365000003	0.9545242766068787	no
52	1.0	257.0	0.3	0.390245987314	1.14869761812135	no
53	1.0	257.0	0.35	0.388621588644	1.3378423905276173	no
56	1.0	442.0	0.1	0.44357382963	0.7474429734788781	no
57	1.0	442.0	0.15	0.438103569035	1.1782600837413715	no
58	1.0	442.0	0.2	0.434314864228	1.6056869952467285	no
59	1.0	442.0	0.25	0.431382337835	2.024448699738968	no
60	1.0	442.0	0.3	0.428995319043	2.4330216939884335	no
61	1.0	442.0	0.35	0.427149775887	2.833600720880237	no
62	1.0	442.0	0.4	0.425654856178	3.2208615439422115	no
114	1.3	84.0	0.2	0.34983433077056664	0.06951870585907946	yes
115	1.3	84.0	0.25	0.3474026056324482	0.08483345857142492	yes
116	1.3	84.0	0.3	0.34454469776192054	0.1000552178931343	yes
120	1.3	143.0	0.1	0.38366165942452257	0.04597575334402378	yes
121	1.3	143.0	0.15	0.377967694589	0.09751117700686206	no
122	1.3	143.0	0.2	0.375173390914	0.15313082090993277	no
123	1.3	143.0	0.25	0.372968445602	0.2033675836089537	no
124	1.3	143.0	0.3	0.371138717917	0.25099722339408936	no
125	1.3	143.0	0.35	0.3697395748069999	0.29706488487872645	no
128	1.3	244.0	0.1	0.418540381527	0.14537052294814287	no
129	1.3	244.0	0.15	0.413785582052	0.2438438476323367	no
130	1.3	244.0	0.2	0.410266382704	0.3396014147879606	no
131	1.3	244.0	0.25	0.40767183709699994	0.4334464659238318	no
132	1.3	244.0	0.3	0.405600272477	0.5252541545323723	no
133	1.3	244.0	0.35	0.403765665001	0.6147002642973237	no
136	1.3	417.0	0.1	0.463727168834	0.3224331427239455	no
137	1.3	417.0	0.15	0.457776938891	0.517163939494784	no
138	1.3	417.0	0.2	0.45343466946	0.7110618427852448	no
139	1.3	417.0	0.25	0.450215382615	0.9026281382469711	no
140	1.3	417.0	0.3	0.44753350261499997	1.0902392262355858	no
141	1.3	417.0	0.35	0.445374363078	1.2743817393935843	no
142	1.3	417.0	0.4	0.443561528644	1.423719618873903	no
289	2.0	232.0	0.15	0.45485074728427227	0.056424995065064744	yes
290	2.0	232.0	0.2	0.44956161011668594	0.07540190087966296	yes
291	2.0	232.0	0.25	0.444042866072	0.09870770102753515	no
292	2.0	232.0	0.3	0.44156924304600004	0.1398624797354056	no
293	2.0	232.0	0.35	0.439461188236	0.1756754776138241	no
294	2.0	232.0	0.4	0.437683643543	0.20899771363417685	no
367	2.3	137.0	0.45	inf	inf	no
764	4.0	421.0	0.35	0.7109730625597247	0.09673339300576315	yes
765	4.0	421.0	0.4	inf	inf	no
766	4.0	421.0	0.5	0.7253028984084202	0.09465796966960723	no
767	4.0	421.0	0.55	0.7308375817738888	0.09112729571108132	yes
768	4.0	421.0	0.6	0.7363351667319095	0.08860305419579266	yes
769	4.0	421.0	0.7	0.7460217918533127	0.08676980470335678	yes
868	5.0	459.0	0.75	0.9222426704246991	0.08380855974393799	yes
869	5.0	459.0	0.8	0.927991445300635	0.0835303464482308	yes
872	5.0	793.0	0.25	0.8507119575788531	0.07718560208604229	yes
873	5.0	793.0	0.3	0.8467411421338346	0.09240936702032135	yes
874	5.0	793.0	0.4	0.8418710851199022	0.12731402857276455	yes
875	5.0	793.0	0.5	0.8646297697778113	0.09733321357451602	no
876	5.0	793.0	0.55	0.8706218958125483	0.09078549858554609	yes
877	5.0	793.0	0.65	0.8818138985536991	0.08555290167574528	yes
878	5.0	793.0	0.75	0.8913076758991569	0.08453435661170954	yes
879	5.0	793.0	0.8	0.8956265585390472	0.08468520854291413	yes
974	6.0	888.0	0.45	0.90507039652892	0.1314399888555918	no
975	6.0	888.0	0.5	inf	inf	no
976	6.0	888.0	0.6	0.9202847529749335	0.08718705909834117	yes
977	6.0	888.0	0.7	0.930763249629773	0.08400385179800875	yes
978	6.0	888.0	0.8	0.9402147273288295	0.08363856628150719	yes
979	6.0	888.0	0.85	0.9448102829445397	0.0837253791869359	yes
1075	7.0	1009.0	0.55	inf	inf	no
1077	7.0	1009.0	0.75	0.9865250239223399	0.08321906519230726	yes
1078	7.0	1009.0	0.8	0.9912329248023749	0.08306257305636784	yes
1079	7.0	1009.0	0.9	1.0003152763760963	0.08301317013890817	yes
1179	8.0	1157.0	0.95	1.0608072203275802	0.08263510027409318	yes
1389	10.0	2919.0	1.15	1.16075718175	0.47298211522416994	no
