i	M1	Pi	M2	MWD	Pf	CV?
26	1.0	50.0	0.2	0.3183867545118927	0.05002344558423635	yes
27	1.0	50.0	0.25	0.3173403977708823	0.06540004074344562	yes
28	1.0	50.0	0.3	0.3164470147745609	0.07856680535582966	yes
32	1.0	87.0	0.1	inf	inf	no
33	1.0	87.0	0.15	0.33765754232376244	0.06288641421232484	yes
34	1.0	87.0	0.2	0.33350216242400005	0.13413076675765773	no
35	1.0	87.0	0.25	0.331770209767	0.19459660010697663	no
36	1.0	87.0	0.3	0.33037727213	0.2479179564799447	no
40	1.0	149.0	0.1	0.367729117045	0.14097126851685562	no
41	1.0	149.0	0.15	0.3639868494679999	0.251033757206273	no
42	1.0	149.0	0.2	0.36139639265500006	0.3535807763657363	no
43	1.0	149.0	0.25	0.359392392222	0.4521817840442517	no
44	1.0	149.0	0.3	0.357748934706	0.5475823835987665	no
45	1.0	149.0	0.35	0.356441895959	0.6404760118686316	no
48	1.0	257.0	0.1	0.402250661367	0.3438118534386507	no
49	1.0	257.0	0.15	0.3976703707759999	0.5499698746665204	no
50	1.0	257.0	0.2	0.39447729163800005	0.7531114995620656	no
51	1.0	257.0	0.25	0.39213669365000003	0.9523687865321685	no
52	1.0	257.0	0.3	0.390245987314	1.1468527204064953	no
53	1.0	257.0	0.35	0.388621588644	1.3362173314141548	no
56	1.0	442.0	0.1	0.44357382963	0.7458933114229183	no
57	1.0	442.0	0.15	0.438103569035	1.177213485939997	no
58	1.0	442.0	0.2	0.434314864228	1.6048818674765508	no
59	1.0	442.0	0.25	0.431382337835	2.023785444376887	no
60	1.0	442.0	0.3	0.428995319043	2.432452076943151	no
61	1.0	442.0	0.35	0.427149775887	2.833098307066523	no
62	1.0	442.0	0.4	0.425654856178	3.2117698622962028	no
114	1.3	84.0	0.2	0.35640028706019794	0.046887326702932434	yes
115	1.3	84.0	0.25	0.355136543385986	0.06211655805480121	yes
116	1.3	84.0	0.3	0.3539255770727592	0.07551547155165277	yes
120	1.3	143.0	0.1	inf	inf	no
121	1.3	143.0	0.15	0.382282735121938	0.05384447605652425	yes
122	1.3	143.0	0.2	0.375173390914	0.10588124269791178	no
123	1.3	143.0	0.25	0.372968445602	0.17247607636218137	no
124	1.3	143.0	0.3	0.371138717917	0.2268637208731349	no
125	1.3	143.0	0.35	0.3697395748069999	0.2768665791031486	no
128	1.3	244.0	0.1	0.418540381527	0.11886854419167495	no
129	1.3	244.0	0.15	0.413785582052	0.2293462450020559	no
130	1.3	244.0	0.2	0.410266382704	0.3291118451758322	no
131	1.3	244.0	0.25	0.40767183709699994	0.4250647048993478	no
132	1.3	244.0	0.3	0.405600272477	0.5181884270658903	no
133	1.3	244.0	0.35	0.403765665001	0.60853734109221	no
136	1.3	417.0	0.1	0.463727168834	0.31585352468893024	no
137	1.3	417.0	0.15	0.457776938891	0.512877660814774	no
138	1.3	417.0	0.2	0.45343466946	0.7078188185341827	no
139	1.3	417.0	0.25	0.450215382615	0.899987952336036	no
140	1.3	417.0	0.3	0.44753350261499997	1.087990980489121	no
141	1.3	417.0	0.35	0.445374363078	1.2724110641860542	no
142	1.3	417.0	0.4	0.443561528644	1.3650485741169194	no
289	2.0	232.0	0.15	inf	inf	no
290	2.0	232.0	0.2	0.4573012302239126	0.049983986623659556	yes
291	2.0	232.0	0.25	0.4530892053445859	0.06973410083470363	yes
292	2.0	232.0	0.3	0.44823807336342764	0.09014894825757121	yes
293	2.0	232.0	0.35	0.44188151093595035	0.1117668892561394	yes
294	2.0	232.0	0.4	0.45189433208367646	0.11844276353852888	no
367	2.3	137.0	0.45	inf	inf	no
764	4.0	421.0	0.35	0.722572343641874	0.06520577296579111	yes
765	4.0	421.0	0.4	inf	inf	no
766	4.0	421.0	0.5	0.7366410557695615	0.062030489850227966	yes
767	4.0	421.0	0.55	0.7419608497501583	0.05887584362830646	yes
768	4.0	421.0	0.6	0.7472247415840562	0.05598316975184026	yes
769	4.0	421.0	0.7	0.7567760179203107	0.053789603127995224	yes
868	5.0	459.0	0.75	0.9338784903228812	0.04731692818517963	yes
869	5.0	459.0	0.8	0.939622473863431	0.04704340993511298	yes
872	5.0	793.0	0.25	0.8612804764453769	0.04462840854567879	yes
873	5.0	793.0	0.3	0.8588280462498217	0.05709001781915145	yes
874	5.0	793.0	0.4	0.8573790365468578	0.08990992560062562	yes
875	5.0	793.0	0.5	0.8768664829330698	0.05937314211463323	yes
876	5.0	793.0	0.55	0.8826817905474099	0.05485611627897593	yes
877	5.0	793.0	0.65	0.8933905202822194	0.04940699153842788	yes
878	5.0	793.0	0.75	0.9028210981998234	0.04837802379665455	yes
879	5.0	793.0	0.8	0.9071720353509115	0.048431406043090125	yes
974	6.0	888.0	0.45	0.9155038531910186	0.06993993105049671	yes
975	6.0	888.0	0.5	inf	inf	no
976	6.0	888.0	0.6	0.9322914044535329	0.05010408412018362	yes
977	6.0	888.0	0.7	0.9424879473433281	0.047335126611573346	yes
978	6.0	888.0	0.8	0.9519371894152354	0.04695458782298748	yes
979	6.0	888.0	0.85	0.9565574116982776	0.046958433346759386	yes
1075	7.0	1009.0	0.55	inf	inf	no
1077	7.0	1009.0	0.75	0.9984867398042913	0.046183861074020165	yes
1078	7.0	1009.0	0.8	1.0031935366469251	0.04605969969608424	yes
1079	7.0	1009.0	0.9	1.0122971166681425	0.045966204775153216	yes
1179	8.0	1157.0	0.95	1.0730550811973143	0.04547052730017071	yes
1389	10.0	2919.0	1.15	1.2600399511766391	0.05305846463634042	yes
